,Video_Id,Channel_Id,Channel_Title,Title,Url,Tags,View_Count,Like_Count,Comment_Count,Duration
1858,kSa69lnvRNU,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,The Perils of Downhill Cycling | Science of Stupid: Ridiculous Fails,https://i.ytimg.com/vi/kSa69lnvRNU/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'Science of Stupid: Ridiculous Fails', 'Ridiculous Fails', 'Science of Stupid', 'Perils of Downhill Cycling', 'Downhill Cycling', 'cycling downhill']",164663,2486,99,PT3M25S
1859,BVC0mJo3MYU,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,The Spirit of Takumi | National Geographic,https://i.ytimg.com/vi/BVC0mJo3MYU/mqdefault.jpg,"['Mazda Content', 'Mazda', 'Photography', 'Photos', 'Contest', 'Winner', 'national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'documentary', 'PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb', 'Contest finalists', 'Sam Tippetts', 'Beth Mancuso', 'Nina Ritchie', 'Inspiration Through Photography', 'Inspiration', 'Assignment: Inspiration', 'The Spirit of Takumi', 'master of their craft', 'Takumi', 'photographer', 'visual storytelling', 'Partner content', 'PLivjPDlt6ApT5VT7oiz7riKmPzkl2sAe0']",35842,820,46,PT1M16S
1860,S_DJ4aduhuI,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Assignment: Inspiration Winner | National Geographic,https://i.ytimg.com/vi/S_DJ4aduhuI/mqdefault.jpg,"['Mazda', 'Photography', 'Photos', 'Contest', 'Winner', 'national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'documentary', 'PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb', 'Contest finalists', 'Sam Tippetts', 'Beth Mancuso', 'Nina Ritchie', 'Inspiration Through Photography', 'Inspiration', 'Assignment: Inspiration', 'Mancuso', 'Beth', 'judges', 'Partner content', 'Nina', 'Ritchie', 'Sam', 'Tippetts', 'PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc']",33365,757,61,PT6M48S
1861,uS4Ujf-lVWc,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Curse of the Afterlife: Lost Treasures of Egypt (Full Episode) | Unearthing a Rare Burial Chamber,https://i.ytimg.com/vi/uS4Ujf-lVWc/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'discover', 'survival', 'nature', 'culture', 'documentary', 'perpetual planet nat geo', 'photography', 'Unearthing a Rare Burial Chamber', 'Lost Treasures of Egypt', 'Afterlife', 'Curse', 'Burial Chamber', 'Lost Treasures of Egypt Full Episode', 'Archaeologists decode', 'rare burial chamber', 'burial chamber', 'tomb', 'lost treasures of egypt full episodes', 'rare burial chamber full episode', 'national geographic episodes', 'grave robbing', 'robbing', 'Full Episode']",208811,3341,144,PT44M25S
1862,l40aCcjslmg,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Tomb Raiders (Full Episode) | Lost Treasures of Egypt,https://i.ytimg.com/vi/l40aCcjslmg/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'perpetual planet nat geo', 'photography', 'full episode', 'Egypt', 'Lost Treasures', 'Lost Treasures of Egypt', 'Treasures of Egypt', 'Ancient Egypt', 'Egyptologists', 'Ancient Egyptians', 'Massive Structures', 'Evolution of Ancient Egypt', ""Ancient Egypt's Pyramids"", 'Pyramids', 'Astonishing', 'Ancient Tomb', 'Robbery', 'Industrial Scale', 'Tomb Raider', 'Full Episode', 'National Geographic']",862798,9687,310,PT44M25S
1863,_Q673Utczgs,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Last Wild Places: American Prairie Reserve | National Geographic,https://i.ytimg.com/vi/_Q673Utczgs/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'Last Wild Places', 'American Prairie Reserve', 'Prairie Reserve', 'Prairie', 'American Prairie', 'Montana', 'bison', 'PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2', 'PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb', 'PLivjPDlt6ApTqKN6DbR-GOM5omen0Xm2a', 'National Geographic Society']",88505,2562,111,PT13M41S
1864,gvXSEAfyU20,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,How Wildlife Is Bouncing Back In This African Park | National Geographic,https://i.ytimg.com/vi/gvXSEAfyU20/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'documentary', 'Wildlife Reserve', 'Africa', 'Parks', 'How Wildlife Is', 'Bouncing Back In', 'This African Park', 'Tizola Moyo', 'Majete Wildlife Reserve', 'park ranger', 'ranger', 'Majete Wildlife', 'PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb', 'PLivjPDlt6ApTjurXykShuUqp7LQcj9s8s', 'PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2']",300621,5152,247,PT16M59S
1865,jZ4Te-hdm-0,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Animal Life in the Forest Canopy - Meet the Expert | National Geographic,https://i.ytimg.com/vi/jZ4Te-hdm-0/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'Lizzie Daly', 'Meet the Expert', 'Lizzie', 'Daly', 'diverse habitats', 'conservation', 'canopy', 'forest', 'rainforest', 'trees', 'monkey', 'slow loris', 'macaque', 'squirrel', 'ecology', 'ecologist', 'biologist', 'birds', 'climbing', 'camera', 'camera trap', 'photo', 'video']",41180,902,29,PT54M59S
1866,sHarX1xvhhc,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Saving Manatees: What It Takes - Meet the Expert | National Geographic,https://i.ytimg.com/vi/sHarX1xvhhc/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'Lizzie Daly', 'bears', 'Meet the Expert', 'Lizzie', 'Daly', 'ocean', 'diverse habitats', 'conservation', 'manatee', 'sea cow', 'jamal galves', 'rescue', 'rehab', 'release', 'marine', 'mammals']",26204,751,45,PT45M42S
1867,PDSSrpTO-4o,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,This Cannon Launched Our Love of Space | How Sci-fi Inspired Science,https://i.ytimg.com/vi/PDSSrpTO-4o/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'documentary', 'science fiction', 'jules verne', 'rockets', 'a trip to the moon', 'from earth to the moon', 'spaceship', 'space travel', 'PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2', 'PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb', 'PLivjPDlt6ApS90YoAu-T8VIj6awyflIym', 'cannon', 'love of space', 'cannon launched', 'How Sci-fi Inspired Science', 'sci-fi', 'From the Earth to the Moon', '#CampYoutube']",42908,1039,41,PT4M1S
